financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
1995-1996,18/03/1996,auction,IL 8828,WYNDHAM ST/ARBUTHNOT RD,C,commercial,1585,765,,high,,,INLAND LOT NO. 8828,N.A.,N.A.,N.A. | N.A. | N.A.,22.28057597,114.1546635,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,The Centrium | The Centrium (16/F),APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT | CONSENT TO SELL FOR COMMERCIAL DEVELOPMENT | FIRM WISE INVESTMENT LIMITED,Named development,30-Sep-01
1995-1996,22/03/1996,tender,TMTL 395,"LUNG MUN RD, TUEN MUN",PSPS,residential,38300,331,,high,,,TUEN MUN TOWN LOT NO. 395,N.A.,N.A.,N.A. | N.A. | N.A.,22.38504221,113.96671,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,"Lung Mun Oasis | Lung Mun Oasis (Kindergarten) | Lung Mun Oasis (Phase I) | Lung Mun Oasis (Phase I) - Blocks 1-4 & 8-11 | Lung Mun Oasis (Phase II) | Lung Mun Oasis (Phase II) - Blocks 5-7 & 12-16 | Lung Mun Oasis (Phases I & II) | Lung Mun Oasis (Supermarket, Wet Market & Shops)",APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-SUB-DEED OF MUTUAL COVENANT | CONSENT TO ASSIGN FOR NON-RESIDENTIAL DEVELOPMENT | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR NON-RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,
1995-1996,29/03/1996,tender,TMTL 393,"AREA 38, LUNG MUN RD",OU,special_use_other,650242,1141.11,,high,,,TUEN MUN TOWN LOT NO. 393,N.A.,N.A.,N.A. | N.A. | N.A.,22.36416379,113.9405561,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,14/08/1996,auction,SOIL 96,SHEK O HEADLAND,R3,residential,276,17,,high,,,SHEK O INLAND LOT NO. 96,N.A.,N.A.,N.A. | N.A. | N.A.,22.22921941,114.2548894,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,14/08/1996,auction,TPTL 118,AREA 30 (SITE 1),R3,residential,21200,535,,high,,,TAI PO TOWN LOT NO. 118,N.A.,N.A.,N.A. | N.A. | N.A.,22.46624449,114.1926826,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Casa Marina II,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | HINTMAX DEVELOPMENT LIMITED,Named development,27-Oct-99
1996-1997,19/08/1996,tender,TMTL 390,"AREA 16, TUEN MUN, N.T.",G,institutional_public,2128,17.2,,high,,,TUEN MUN TOWN LOT NO. 390,N.A.,N.A.,N.A. | N.A. | N.A.,22.38146196,113.9739098,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,18/10/1996,tender,KCTL 470,CONTAINER PORT RD,PFS,petrol_or_ev,1575,165,,high,,,KWAI CHUNG TOWN LOT NO. 470,N.A.,N.A.,N.A. | N.A. | N.A.,22.35446136,114.1256124,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,22/10/1996,tender,TMTL 398,"AREA 16, TUEN MUN, N.T.",G,institutional_public,2919,26.91,,high,,,TUEN MUN TOWN LOT NO. 398,N.A.,N.A.,N.A. | N.A. | N.A.,22.38054265,113.9718923,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,29/10/1996,,TWTL 376,SHIU WO ST,C/R,commercial_residential_mixed,1020,4.42,,high,,,TSUEN WAN TOWN LOT NO. 376,N.A.,N.A.,N.A. | N.A. | N.A.,22.37230834,114.1175194,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Brighton Place | Brighton Place (Shops & Car Parking Spaces),APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR COMMERCIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | KEE YET COMPANY LIMITED,Named development,10 Feb 1999 | 21 Feb 2000
1996-1997,13/11/1996,auction,"LOT 729 in DD MUI WO, LANTAU","4 MUI WO, LANTAU",C,commercial,720,10,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,13/11/1996,auction,YLTL 491,J/O MA TIN RD/TAI YUK RD,C/R,commercial_residential_mixed,4206,370,,high,,,YUEN LONG TOWN LOT NO. 491,N.A.,N.A.,N.A. | N.A. | N.A.,22.44067773,114.0216484,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Springdale Villas,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | DRAGON VIEW (HK) LIMITED,Named development,17-Jun-99
1996-1997,5/12/1996,tender,TMTL 405,"LUNG MUN RD., TUEN MUN",PSPS,residential,36941,380,,high,,,TUEN MUN TOWN LOT NO. 405,N.A.,N.A.,N.A. | N.A. | N.A.,22.38328905,113.9657513,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Glorious Garden | Glorious Garden (Blocks 1-12) | Glorious Garden (Phase I) - Non-residential units & residential units in Blocks 1-5 & 11-12 & car parking spaces | Glorious Garden (Shops),"APPROVAL OF DEED OF MUTUAL COVENANT | APPROVAL OF MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT | CONSENT TO ASSIGN FOR NON-RESIDENTIAL UNITS, RESIDENTIAL UNITS AND CAR PARKING SPACES | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR NON-RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT",Named development,N.A.
1996-1997,11/12/1996,auction,NKIL 6235,TSEUK LUK ST,C/R,commercial_residential_mixed,222,61,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Wealth Court,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1996-1997,11/12/1996,auction,IL 8874,152 ELECTRIC RD,C,commercial,1223,760,,high,,,INLAND LOT NO. 8874,N.A.,N.A.,N.A. | N.A. | N.A.,22.28643768,114.1917307,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,e. Point,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | BEST ORIGIN LIMITED | CONSENT TO SELL FOR COMMERCIAL DEVELOPMENT,Named development,31-Dec-00
1996-1997,9/1/1997,tender,SIL 826,A KUNG NGAM,IG,industrial,2311,142.8,,high,,,SHAU KEI WAN INLAND LOT NO. 826,N.A.,N.A.,N.A. | N.A. | N.A.,22.28250066,114.2320092,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,15/01/1997,auction,RBL 1133,SOUTH BAY RD,R3,residential,2008,230,,high,,,RURAL BUILDING LOT NO. 1133,N.A.,N.A.,N.A. | N.A. | N.A.,22.23344495,114.1988934,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,15/01/1997,auction,TMTL 355,18 1/2 MS CASTLE PEAK RD,R3,residential,5080,258,,high,,,TUEN MUN TOWN LOT NO. 355,N.A.,N.A.,N.A. | N.A. | N.A.,22.37420644,113.9894276,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Palm Beach,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1996-1997,21/01/1997,tender,LOT 1000 in 40,DD SHA TAU KOK,R2,residential,1167,26.8,,high,GREENSIDE PARADISE,DD SHA TAU KOK,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,22/02/1997,tender,NKIL 6215,CHEUNG YIP ST/LAM CHAK ST,IG,industrial,6541,233.6,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,11/3/1997,tender,STTL 347,ON LAI ST/ON PING ST,C,commercial,6500,333,,high,,,SHA TIN TOWN LOT NO. 347,N.A.,N.A.,N.A. | N.A. | N.A.,22.39092838,114.2066092,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,18/03/1997,tender,RBL 1135,POK FU LAM RD,PFS,petrol_or_ev,811,125.3,,high,,,RURAL BUILDING LOT NO. 1135,N.A.,N.A.,N.A. | N.A. | N.A.,22.27500288,114.130042,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,18/03/1997,tender,RBL 1136,SHOUSON HILL RD,C,commercial,1242,86,,high,,,RURAL BUILDING LOT NO. 1136,N.A.,N.A.,N.A. | N.A. | N.A.,22.24910559,114.1812204,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1996-1997,22/03/1997,tender,AIL 436,ABERDEEN PRAYA RD,PSPS,residential,4637,165,,high,,,ABERDEEN INLAND LOT NO. 436,N.A.,N.A.,N.A. | N.A. | N.A.,22.24725342,114.1593349,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Ocean Court,APPROVAL OF DEED OF MUTUAL COVENANT | APPROVAL OF MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR COMMERCIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | MODERN MIND COMPANY LIMITED,Named development,23 Dec 1999 | 24 Mar 1999 | N.A.
1996-1997,25/03/1997,auction,KIL 11091,"CHUNG HAU ST, HOMANTIN",R1,residential,2627,1400,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Ellery Terrace,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | MAXJET COMPANY LIMITED,Named development,7-May-99
1996-1997,25/03/1997,auction,CWIL 152,SIU SAI WAN RECLAMATION,R1,residential,25592,11820,,high,,,CHAI WAN INLAND LOT NO. 152,N.A.,N.A.,N.A. | N.A. | N.A.,22.26631025,114.2508641,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Island Resort,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | SILVER LINK INVESTMENT LIMITED,Named development,28-Dec-99
1996-1997,26/03/1997,tender,NKIL 6233,HAMMER HILL RD,PSPS,residential,25702,810,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Grand View Garden | Grand View Garden (Towers 1 - 6),APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR COMMERCIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | GRAND VIEW PROPERTIES LIMITED,Named development,8 Feb 2000 | N.A.
1997-1998,3/6/1997,auction,RBL 1138,PENDRAGON 150 WONG MA KOK,R3,residential,53126,5500,,high,REGALIA BAY,88 WONG MA KOK ROAD,RURAL BUILDING LOT NO. 1138,N.A.,Chest Gain Development Limited,N.A. | N.A. | N.A.,22.20749728,114.2126803,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Regalia Bay | Regalia Bay (Phase 1) | Regalia Bay (Phase II),APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CHEST GAIN DEVELOPMENT LIMITED | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,1 Sep 2003 | N.A.
1997-1998,3/6/1997,auction,KIL 11055,"WAN HOI ST, HUNG HOM",R1,residential,7402,6060,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Harbourfront Landmark,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR COMMERCIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | MARKETON INVESTMENT LIMITED,Named development,31 Dec 2001 | 5 Sep 2001
1997-1998,3/6/1997,auction,LOT 244 in DD 331,"CHEUNG FU ST, CHEUNG SHA",R4,residential,2240,40,,high,,,LOT NO. 244 IN DEMARCATION DISTRICT NO. 331,N.A.,Asia Chance Investment Limited,N.A. | N.A. | N.A.,22.23655096,113.9489971,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1997-1998,10/6/1997,tender,YLTL 461,TUNG TAU INDUSTRIAL AREA,I,industrial,3180,91,,high,,,YUEN LONG TOWN LOT NO. 461,N.A.,N.A.,N.A. | N.A. | N.A.,22.45011124,114.0277389,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,After The Rain | After the Rain,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | SINCERE GOLD PROPERTIES LIMITED,Named development,13-Feb-23
1997-1998,27/08/1997,auction,RBL 1132,129 REPULSE BAY RD,R3,residential,10570,5550,,high,,,RURAL BUILDING LOT NO. 1132,N.A.,Gain Regent Development Limited,N.A. | N.A. | N.A.,22.23561311,114.2001706,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,129 Repulse Bay Road,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1997-1998,27/08/1997,auction,LOT 868 in DD 1 LAMMA,"NGA KAU WAN, LAMMA ISLAND",R3,residential,3920,64,,high,,,"LOT NO. 868 IN DEMARCATION DISTRICT NO. 1, LAMMA ISLAND",N.A.,T & L Securities Limited,N.A. | N.A. | N.A.,22.22974038,114.1104278,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1997-1998,27/08/1997,auction,STTL 217,"MEI WO CIRCUIT, AREA 41A, SHA TIN",R4,residential,1307,56,,high,,,SHA TIN TOWN LOT NO. 217,N.A.,Wealth Nice Investment Limited,N.A. | N.A. | N.A.,22.39390181,114.1875081,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1997-1998,15/09/1997,auction,APIL 130,HUNG SHING ST/WAI FUNG ST,C/R,commercial_residential_mixed,400,105,,high,,,AP LEI CHAU INLAND LOT NO. 130,N.A.,Qualifair Company Limited,N.A. | N.A. | N.A.,22.24392979,114.156396,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Kingston Mansion,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1997-1998,15/09/1997,auction,LOT 13 in DD 231,CHUK KOK,R4,residential,1570,51,,high,,,LOT NO. 13 IN DEMARCATION DISTRICT NO. 231,N.A.,Rillex Investment Limited,N.A. | N.A. | N.A.,22.34635349,114.2592065,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Emerald Garden,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1997-1998,14/10/1997,auction,TPTL 161,SHUEN WAN,R3,residential,91265,5600,,high,THE BEVERLY HILLS,23 SAM MUN TSAI ROAD,TAI PO TOWN LOT NO. 161,N.A.,Wealth Team Development Limited,N.A. | N.A. | N.A.,22.45881947,114.2067694,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,"The Beverly Hills (Phases 1 & 2) | The Beverly Hills, Phase 1 and Phase 2",APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | WEALTH TEAM DEVELOPMENT LIMITED,Named development,5-Nov-02
1997-1998,14/10/1997,auction,TMTL 407,"AREA 16, TUEN MUN, N.T.",R1,residential,16587,2900,,high,,,TUEN MUN TOWN LOT NO. 407,N.A.,Macfull Limited,N.A. | N.A. | N.A.,22.38236637,113.9715498,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Nerine Cove,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | MACFULL LIMITED,Named development,24-May-99
1997-1998,10/11/1997,tender,AIL 435,SHUM WAN RD (SOUTH),PSPS,residential,15855,390,,high,,,ABERDEEN INLAND LOT NO. 435,N.A.,N.A.,N.A. | N.A. | N.A.,22.24285601,114.1652432,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Broadview Court,APPROVAL OF DEED OF MUTUAL COVENANT | APPROVAL OF MANAGEMENT AGREEMENT | CENTURY METRO DEVELOPMENT LIMITED | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR COMMERCIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,20 Apr 2000 | 28 Apr 2002 | 29 Jul 2000 | N.A.
1997-1998,19/11/1997,auction,RBL 1139,"4 CAPE DRIVE, CHUNG HOM KOK",R3,residential,3189,221,,high,NO. 2 CAPE DRIVE,2 CAPE DRIVE,RURAL BUILDING LOT NO. 1139,N.A.,Fairio Limited,N.A. | N.A. | N.A.,22.21714344,114.2058547,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,No. 2 Cape Drive | The Morning Side,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | MAXJET COMPANY LIMITED,Named development,28-Oct-13
1997-1998,19/11/1997,auction,HHIL 550,"BULKELEY ST, HUNG HOM",R1,residential,693,276,,high,,,HUNG HOM INLAND LOT NO. 550,N.A.,Yu Hing Property Development Limited,N.A. | N.A. | N.A.,22.30775947,114.1845317,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Grand Blossom House,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1997-1998,1/12/1997,tender,YLTL 497,TUNG TAU INDUSTRIAL AREA,I,industrial,2435,15.1,,high,,,YUEN LONG TOWN LOT NO. 497,N.A.,N.A.,N.A. | N.A. | N.A.,22.45204507,114.029165,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1997-1998,11/12/1997,auction,TMTL 416,"AREA 10, TUEN MUN",R1,residential,2293,285,,high,,,TUEN MUN TOWN LOT NO. 416,N.A.,Winfield Investment Limited,N.A. | N.A. | N.A.,22.39959752,113.9764156,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Parkview Court,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | WINFIELD INVESTMENTS LIMITED,Named development,17-Jun-99
1997-1998,11/12/1997,auction,LOT 2058 in DD 121,"SHA TSENG RD, TONG YAN SAN TSUEN",R3,residential,1950,58,,high,,,LOT NO. 2058 IN DEMARCATION DISTRICT NO. 121,N.A.,Kisland Investment Limited,N.A. | N.A. | N.A.,22.43462732,114.0125046,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Kisland Villa II,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1997-1998,13/01/1998,auction,TMTL 409,"TSING SIN ST, AREA 37B",R1,residential,3875,250,,high,,,TUEN MUN TOWN LOT NO. 409,N.A.,Brightwing Development Limited,N.A. | N.A. | N.A.,22.38529443,113.9805859,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,JC Place,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | BRIGHTWING DEVELOPMENT LIMITED | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,24-Mar-00
1997-1998,13/01/1998,auction,LOT 1736 in DD 122,PING SHAN LANE,R3,residential,2040,33,,high,RAINBOW LODGE,9 PING SHAN LANE,LOT NO. 1736 IN DEMARCATION DISTRICT NO. 122,N.A.,Lead Fortune Development Limited,N.A. | N.A. | N.A.,22.44265574,114.0128546,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Rainbow Lodge,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1997-1998,6/2/1998,tender,NKIL 5877,"WANG CHIU RD, KOWLOON BAY",IO,industrial,4288,112.1,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Enterprise Square Three,CONSENT TO SELL FOR COMMERCIAL DEVELOPMENT | PRISMATIC LIMITED,Named development,30-May-04
1997-1998,12/2/1998,auction,STTL 318,SUI WO RD,R4,residential,4133,90,,high,,,SHA TIN TOWN LOT NO. 318,N.A.,The Light Corporation Limited,N.A. | N.A. | N.A.,22.39378432,114.1887996,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Votre Palais,THE LIGHT CORPORATION LIMITED,Named development,27-May-02
1997-1998,12/2/1998,auction,STTL 468,CHIK FU ST,R1,residential,88,11.6,,high,,,SHA TIN TOWN LOT NO. 468,N.A.,New Foundation Development Limited,N.A. | N.A. | N.A.,22.37470326,114.1783114,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1997-1998,16/02/1998,tender,KCTL 479,STONECUTTERS ISLAND,OU,special_use_other,33391,130,,high,,,KWAI CHUNG TOWN LOT NO. 479,N.A.,N.A.,N.A. | N.A. | N.A.,22.31874286,114.129063,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1997-1998,16/02/1998,tender,KCTL 481,STONECUTTERS ISLAND,OU,special_use_other,33391,86.26,,high,,,KWAI CHUNG TOWN LOT NO. 481,N.A.,N.A.,N.A. | N.A. | N.A.,22.31877032,114.1303539,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1997-1998,10/3/1998,tender,STTL 461,"AREA 100, MA ON SHAN",HTL,hotel,8000,120.39,,high,,,SHA TIN TOWN LOT NO. 461,N.A.,N.A.,N.A. | N.A. | N.A.,22.42645819,114.227452,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1997-1998,13/03/1998,tender,KIL 11086,J/O CANTON RD/AUSTIN RD,C/R,commercial_residential_mixed,10486,2893,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,"The Victoria Towers | The Victoria Towers (Towers 1, 2 & 3) | Victoria Towers (Towers 1, 2 & 3)",APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR NON-RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | KONORUS INVESTMENT LIMITED,Named development,18 Oct 2001 | 30 Sep 2002
1997-1998,24/03/1998,auction,YLTL 451,"MA TIN RD,YUEN LONG",R2,residential,6796,290,,high,,,YUEN LONG TOWN LOT NO. 451,N.A.,Limbo Enterprises Limited,N.A. | N.A. | N.A.,22.43997631,114.0202096,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Greenery Place,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | LIMBO ENTERPRISES LIMITED,Named development,11-Dec-00
1997-1998,24/03/1998,auction,RBL 1145,6-14 MOUNT AUSTIN RD,R3,residential,13328,920,,high,,,RURAL BUILDING LOT NO. 1145,N.A.,Jadespring Limited,N.A. | N.A. | N.A.,22.27223968,114.148261,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,The Mount Austin,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | JADESPRING LIMITED,Named development,22-Aug-02
1997-1998,26/03/1998,tender,TMTL 425,J/O HO TIN ST/KIN FAT ST.,I,industrial,3414,51.22,,high,,,TUEN MUN TOWN LOT NO. 425,N.A.,N.A.,N.A. | N.A. | N.A.,22.3986262,113.9683794,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1998-1999,7/4/1998,tender,YLTL 443,"HI YIP ST, TUNG TAU",MCP,transport_parking,3106,28.88,,high,,,YUEN LONG TOWN LOT NO. 443,N.A.,N.A.,N.A. | N.A. | N.A.,22.44882028,114.028158,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
