Unnamed: 0,Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
206,TMTL 449,"Tsing Fat Street, Tuen Mun",Residential R3,1.7042 ha,,,Now,2007/2008,1
207,KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Homantin, Kowloon",Residential R1,0.1902 ha,,,Now,2007/2008,1
208,NKIL 6309,"Ex-Wong Tai Sin Police Quarters, 3 Chun Yan Street",Residential R1,0.9502 ha,,,Now,2007/2008,1
209,FSSTL 225,"89-95 San Fung Avenue, Shek Wu Hui, Sheung Shui",Residential/Commercial,0.0306 ha,,,Now,2007/2008,1
210,Lot 676 DD Peng Chau,Peng Chau,Residential R3,0.4565 ha,,,Now,2007/2008,1
211,Lot 245 DD 331,"Cheung Sha, Lantau Island",Residential R4,1.6587 ha,,,Now,2007/2008,1
212,KIL 11175,"J/O Fat Kwong Street and Chung Hau Street, Homantin (Ex-Valley Road Estate Ph 2)",Residential R1,1.6151 ha,,,Now,2007/2008,1
213,TCTL 22,"Tung Chung Area 56, Lantau Island",Residential R2,3.2900 ha,,,Now,2007/2008,1
214,TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,,,Now,2007/2008,1
215,NKIL 6311,"J/o Sheung Yuet Road, Wang Tai Road & Wang Yuen Street",Business,0.2579 ha,,,Now,2007/2008,1
216,NKIL 6313,"Cheung Yip Street, Kowloon",Business,0.3795 ha,,,Now,2007/2008,1
217,IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4153 ha,,,Now,2007/2008,1
218,Lot 1950 DD 221,"Sai Kung Town, Area 4",Commercial,1.7940 ha,,,Now,2007/2008,1
219,STTL 433,"On Yiu Street/On Kwan Street/On Lai Street, Shek Mun, Sha Tin",Business,0.8533 ha,,,Now,2007/2008,1
220,NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial,0.4878 ha,,,Now,2007/2008,1
221,STTL 463,"On Yiu Street/On Kwan Street, Shek Mun, Sha Tin",Business,0.7997 ha,,,Now,2007/2008,1
222,Lot 1176 in D.D. 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Now,2007/2008,1
223,NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Business,0.7083 ha,,,Now,2007/2008,1
224,NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Commercial,0.6600 ha,,,Now,2007/2008,1
225,IL 8914,Ex-Hollywood Road Police Quarters,Residential R1,0.5818 ha,,,December 2007,2007/2008,1
226,CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,,,January 2008,2007/2008,1
227,TWTL 393,"Yeung Uk Road, Tsuen Wan",Commercial,1.4160 ha,,,February 2008,2007/2008,1
228,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.1700 ha,,,February 2008,2007/2008,1
229,FSSTL 202,"Area 21, Fan Leng Lau Road",Residential R1,0.2560 ha,,,April 2007,2007/2008,0
230,Lot 734 DD 4,"Mui Wo, Lantau",Residential R4,0.2419 ha,,,May 2007,2007/2008,0
231,TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,May 2007,2007/2008,0
232,TPTL 186,"Pak Shek Kok Development Area, Phase 1, Site B",Residential R2,2.2140 ha,,,October 2007,2007/2008,0
233,YLTL 458,"Junction of Fu Yip Street and Wang Yip Street, Tung Tau",Business,0.4748 ha,,,January 2008,2007/2008,0
234,KIL 11120,Hung Hom Bay Reclamation Site D1,Residential R1,0.7470 ha,,,February 2008,2007/2008,0
235,FSSTL 177,"Area 19, Sha Tau Kok Road",Residential R1,0.8900 ha,,,February 2008,2007/2008,0
236,NKIL 6312,"Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,March 2008,2007/2008,0
237,KIL11125,"Ex-CAS Training Centre, 204 Argyle Street",Residential R2,0.7284 ha,,,March 2008,2007/2008,0
238,Lot 1588 DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay",Residential R4,0.7650 ha,,,March 2008,2007/2008,0
239,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Hotel / Residential / Commercial,1.1700 ha,,,March 2009,2008/2009,1
240,NKIL 6311,"Junction of Sheung Yuet Road, Wang Tai Road and Wang Yuen Street, Kowloon Bay",Hotel,0.2579 ha,,,August 2008,2008/2009,1
241,NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Hotel,0.6600 ha,,,August 2008,2008/2009,1
242,NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Hotel,0.7083 ha,,,August 2008,2008/2009,1
243,TSWTL 26,"Area 108A, Tin Shui Wai",Hotel,0.6500 ha,,,August 2008,2008/2009,1
244,Lot 1950 in DD 221,"Sai Kung Town, Area 4",Hotel,1.7940 ha,,,September 2008,2008/2009,1
245,TWTL 393,"Yeung Uk Road, Tsuen Wan",Hotel,1.4160 ha,,,December 2008,2008/2009,1
246,IL 9007,"103 Mt. Nicholson Road, The Peak, Hong Kong",Residential R3,2.3312 ha,,,Now,2008/2009,1
247,NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2008/2009,1
248,Lot 676 in DD Peng Chau,Peng Chau,Residential R3,0.4564 ha,,,Now,2008/2009,1
249,Lot 734 in DD 4,"Mui Wo, Lantau",Residential R3,0.2419 ha,,,Now,2008/2009,1
250,FSSTL 225,"89-95 San Fung Avenue, Shek Wu Hui, Sheung Shui",Residential / Commercial,0.0306 ha,,,Now,2008/2009,1
251,FSSTL 202,"Area 21, Junction of Fan Leng Lau Road, Wo Muk Road and Luen Hing Street, Fanling",Residential R1,0.2560 ha,,,Now,2008/2009,1
252,FSSTL 177,"Area 19, Sha Tau Kok Road, Fanling",Residential R1,0.8900 ha,,,Now,2008/2009,1
253,TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3325 ha,,,Now,2008/2009,1
254,TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,Now,2008/2009,1
255,Lot 2129 in DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2008/2009,1
256,CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.1804 ha,,,June 2008,2008/2009,1
257,IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0573 ha,,,June 2008,2008/2009,1
258,KIL11125,"Ex-CAS Training Centre, 204 Argyle Street, Kowloon",Residential R2,0.7326 ha,,,June 2008,2008/2009,1
259,RBL 1165,"Near 110 Repulse Bay Road, Hong Kong",Residential R3,0.4250 ha,,,August 2008,2008/2009,1
260,RBL 1168,"Near 35 South Bay Road, Hong Kong",Residential R3,0.1338 ha,,,August 2008,2008/2009,1
261,NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.2808 ha,,,August 2008,2008/2009,1
262,Lot 1588 in DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay, Sai Kung",Residential R4,0.7615 ha,,,August 2008,2008/2009,1
263,KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Hung Hom, Kowloon",Residential R1,0.1902 ha,,,September 2008,2008/2009,1
264,KIL 11175,"Junction of Fat Kwong Street and Chung Hau Street, Homantin, Kowloon (Ex-Valley Road Estate Ph 2)",Residential R2,1.6151 ha,,,October 2008,2008/2009,1
265,KIL 11120,"Hung Hom Bay Reclamation Site D1, Junction of Oi King Street and Hung Luen Road, Kowloon",Residential R2,0.7480 ha,,,March 2009,2008/2009,1
266,IL 8949,"21, 23 and 25 Borrett Road, Mid-Levels West",Residential R2,0.7976 ha,,,March 2009,2008/2009,1
267,NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial (Including Public Car Park),0.4878 ha,,,Now,2008/2009,1
268,NKIL 6312,"Junction of Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,Now,2008/2009,1
269,NKIL 6313,"Cheung Yip Street, Kowloon Bay",Business,0.3795 ha,,,Now,2008/2009,1
270,Lot 1176 in DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Now,2008/2009,1
271,STTL 433,"Junction of On Yiu Street, On Kwan Street and On Lai Street, Shek Mun, Sha Tin",Business,0.8533 ha,,,Now,2008/2009,1
272,STTL 463,"Junction of On Yiu Street and On Kwan Street, Shek Mun, Sha Tin",Business,0.7997 ha,,,Now,2008/2009,1
273,IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4153 ha,,,August 2008,2008/2009,1
274,YLTL 458,"Junction of Fu Yip Street and Wang Yip Street West, Tung Tau, Yuen Long",Business,0.4748 ha,,,February 2009,2008/2009,1
275,IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.6000 ha,,,March 2009,2008/2009,0
276,IL 8970,"373 Queen's Road East, Hong Kong",Hotel,0.0700 ha,,,March 2009,2008/2009,0
277,KIL 11205,"Junction of Hung Luen Road and Wa Shun Street, Hung Hom Bay Reclamation, Kowloon",Hotel,1.6000 ha,,,March 2009,2008/2009,0
278,StIL 91,"Hoi Fung Path, Stanley",Residential R3,0.0615 ha,,,April 2008,2008/2009,0
279,Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,April 2008,2008/2009,0
280,Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1771 ha,,,April 2008,2008/2009,0
281,Lot 1200 in DD 217,"Pak Sha Wan, Sai Kung",Residential R3,0.0190 ha,,,April 2008,2008/2009,0
282,Lot 726 in DD 4,"Mui Wo, Lantau",Residential R3,0.2260 ha,,,September 2008,2008/2009,0
283,Lot 1613 in DD 222,"Kap Pin Long, Sai Kung",Residential R4,0.1700 ha,,,September 2008,2008/2009,0
284,NKIL 6493,"Inverness Road, Kowloon Tong",Residential R3,0.7040 ha,,,March 2009,2008/2009,0
285,TCTL 37,"Tung Chung Area 55b, Lantau",Residential R2,2.6200 ha,,,March 2009,2008/2009,0
286,Lot 750 in DD 85,"Queen's Hill, Fanling",Residential R3,16.4200 ha,,,March 2009,2008/2009,0
287,TKOTL 76,Tseung Kwan O Area 66B,Residential R1,1.6100 ha,,,March 2009,2008/2009,0
288,STTL 562,"Shatin Area 56A, Kau To (Site B5)",Residential R3,0.3910 ha,,,March 2009,2008/2009,0
289,STTL 563,"Shatin Area 56A, Kau To (Site B6)",Residential R3,0.6060 ha,,,March 2009,2008/2009,0
290,STTL 564,"Shatin Area 56A, Kau To (Site B7)",Residential R3,0.5200 ha,,,March 2009,2008/2009,0
291,STTL 565,"Shatin Area 56A, Kau To (Site B1)",Residential R3,0.8480 ha,,,March 2009,2008/2009,0
292,STTL 566,"Shatin Area 56A, Kau To (Site B2)",Residential R3,0.7780 ha,,,March 2009,2008/2009,0
293,STTL 567,"Shatin Area 56A, Kau To (Site B3&4)",Residential R3,1.9100 ha,,,March 2009,2008/2009,0
294,TPTL 200,"Pak Shek Kok Development Area, Phase 2, Site D1, Tai Po",Residential R3,2.0925 ha,,,March 2009,2008/2009,0
295,TPTL 201,"Pak Shek Kok Development Area, Phase 2, Site D2, Tai Po",Residential R3,2.0925 ha,,,March 2009,2008/2009,0
296,Lot 4309 in DD 124,"Tan Kwai Tsuen, Hung Shui Kiu, Yuen Long",Residential R3,1.1100 ha,,,March 2009,2008/2009,0
297,KIL 11202,"Ex-Ho Man Tin Police Quarters, 81 Chung Hau Street, Homantin, Kowloon",Residential R2,0.4300 ha,,,March 2009,2008/2009,0
298,NKIL 6498,"62 Begonia Road, Yau Yat Chuen, Kowloon Tong",Residential R3,0.2800 ha,,,March 2009,2008/2009,0
299,IL 8998,"Chung Kong Road, adjacent to Shun Tak Centre, Hong Kong",Commercial,0.6028 ha,,,March 2009,2008/2009,0
300,KIL 11111,"Junction of Hung Luen Road and Kin Wan Street, Hung Hom Bay Reclamation, Kowloon",Commercial,1.3900 ha,,,March 2009,2008/2009,0
301,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Hotel / Residential / Commercial,1.1400 ha,,,December 2009,2009/2010,1
302,NKIL 6311,"Junction of Sheung Yuet Road, Wang Tai Road and Wang Yuen Street, Kowloon Bay",Hotel,0.2579 ha,,,Now,2009/2010,1
303,NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Hotel,0.6600 ha,,,Now,2009/2010,1
304,NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Hotel,0.7083 ha,,,Now,2009/2010,1
305,TSWTL 26,"Area 108A, Tin Shui Wai",Hotel,0.6500 ha,,,Now,2009/2010,1
306,Lot 1950 in DD 221,"Sai Kung Town, Area 4",Hotel,1.7940 ha,,,Now,2009/2010,1
307,IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.5360 ha,,,December 2009,2009/2010,1
308,IL 8970,"373 Queen's Road East, Hong Kong",Hotel,0.0700 ha,,,Now,2009/2010,1
309,KIL 11205,"Junction of Hung Luen Road and Wa Shun Street, Hung Hom Bay Reclamation, Kowloon",Hotel,1.6000 ha,,,December 2009,2009/2010,1
310,IL 9007,"103 Mt. Nicholson Road, The Peak, Hong Kong",Residential R3,2.3312 ha,,,Now,2009/2010,1
311,NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2009/2010,1
312,Lot 676 in DD Peng Chau,Peng Chau,Residential R3,0.4564 ha,,,Now,2009/2010,1
313,Lot 734 in DD 4,"Mui Wo, Lantau",Residential R3,0.2419 ha,,,Now,2009/2010,1
314,FSSTL 225,"89-95 San Fung Avenue, Shek Wu Hui, Sheung Shui",Residential / Commercial,0.0306 ha,,,Now,2009/2010,1
315,FSSTL 202,"Area 21, Junction of Fan Leng Lau Road, Wo Muk Road and Luen Hing Street, Fanling",Residential R1,0.2560 ha,,,Now,2009/2010,1
316,FSSTL 177,"Area 19, Sha Tau Kok Road, Fanling",Residential R1,0.8900 ha,,,Now,2009/2010,1
317,TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,March 2010,2009/2010,1
318,Lot 2129 in DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2009/2010,1
319,CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.1804 ha,,,Now,2009/2010,1
320,IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0573 ha,,,Now,2009/2010,1
321,KIL11125,"Ex-CAS Training Centre, 204 Argyle Street, Kowloon",Residential R2,0.7326 ha,,,Now,2009/2010,1
322,RBL 1165,"Near 110 Repulse Bay Road, Hong Kong",Residential R3,0.4250 ha,,,Now,2009/2010,1
323,RBL 1168,"Near 35 South Bay Road, Hong Kong",Residential R3,0.1338 ha,,,Now,2009/2010,1
324,NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.2808 ha,,,Now,2009/2010,1
325,Lot 1588 in DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay, Sai Kung",Residential R4,0.7615 ha,,,Now,2009/2010,1
326,KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Hung Hom, Kowloon",Residential R1,0.1902 ha,,,June 2009,2009/2010,1
327,KIL 11175,"Junction of Fat Kwong Street and Chung Hau Street, Homantin, Kowloon (Ex-Valley Road Estate Ph 2)",Residential R2,1.6151 ha,,,June 2009,2009/2010,1
328,KIL 11120,"Hung Hom Bay Reclamation Site D1, Junction of Oi King Street and Hung Luen Road, Kowloon",Residential R2,0.7551 ha,,,June 2009,2009/2010,1
329,IL 8949,"21, 23 and 25 Borrett Road, Mid-Levels West",Residential R2,0.7976 ha,,,March 2010,2009/2010,1
330,StIL 91,"Hoi Fung Path, Stanley",Residential R3,0.0615 ha,,,Now,2009/2010,1
331,Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,Now,2009/2010,1
332,Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1780 ha,,,Now,2009/2010,1
333,Lot 726 in DD 4,"Mui Wo, Lantau",Residential R3,0.2260 ha,,,Now,2009/2010,1
334,Lot 1613 in DD 222,"Kap Pin Long, Sai Kung",Residential R4,0.1733 ha,,,Now,2009/2010,1
335,NKIL 6493,"Inverness Road, Kowloon Tong",Residential R3,0.7040 ha,,,October 2009,2009/2010,1
336,TCTL 37,"Tung Chung Area 55b, Lantau",Residential R2,2.6200 ha,,,Now,2009/2010,1
337,Lot 750 in DD 85,"Queen's Hill, Fanling",Residential R3,16.4200 ha,,,March 2010,2009/2010,1
338,TKOTL 76,Tseung Kwan O Area 66B,Residential R1,1.2300 ha,,,October 2009,2009/2010,1
339,STTL 562,"Shatin Area 56A, Kau To (Site B5)",Residential R3,0.4680 ha,,,Now,2009/2010,1
340,STTL 563,"Shatin Area 56A, Kau To (Site B6)",Residential R3,0.5950 ha,,,Now,2009/2010,1
341,STTL 564,"Shatin Area 56A, Kau To (Site B7)",Residential R3,0.5480 ha,,,Now,2009/2010,1
342,STTL 565,"Shatin Area 56A, Kau To (Site B1)",Residential R3,0.8590 ha,,,Now,2009/2010,1
343,STTL 566,"Shatin Area 56A, Kau To (Site B2)",Residential R3,0.8080 ha,,,Now,2009/2010,1
344,STTL 567,"Shatin Area 56A, Kau To (Site B3&4)",Residential R3,1.9700 ha,,,Now,2009/2010,1
345,TPTL 200,"Pak Shek Kok Development Area, Phase 2, Site D1, Tai Po",Residential R3,2.0925 ha,,,Now,2009/2010,1
346,TPTL 201,"Pak Shek Kok Development Area, Phase 2, Site D2, Tai Po",Residential R3,2.0925 ha,,,Now,2009/2010,1
347,Lot 4309 in DD 124,"Tan Kwai Tsuen, Hung Shui Kiu, Yuen Long",Residential R3,1.1100 ha,,,June 2009,2009/2010,1
348,NKIL 6498,"62 Begonia Road, Yau Yat Chuen, Kowloon Tong",Residential R3,0.2810 ha,,,Now,2009/2010,1
349,NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial (Including Public Car Park),0.4878 ha,,,Now,2009/2010,1
350,NKIL 6312,"Junction of Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,Now,2009/2010,1
351,NKIL 6313,"Cheung Yip Street, Kowloon Bay",Business,0.3795 ha,,,Now,2009/2010,1
352,Lot 1176 in DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Now,2009/2010,1
353,STTL 433,"Junction of On Yiu Street, On Kwan Street and On Lai Street, Shek Mun, Sha Tin",Business,0.8533 ha,,,Now,2009/2010,1
354,STTL 463,"Junction of On Yiu Street and On Kwan Street, Shek Mun, Sha Tin",Business,0.7997 ha,,,Now,2009/2010,1
355,IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4153 ha,,,Now,2009/2010,1
356,YLTL 458,"Junction of Fu Yip Street and Wang Yip Street West, Tung Tau, Yuen Long",Business,0.4748 ha,,,Now,2009/2010,1
357,KIL 11111,"Junction of Hung Luen Road and Kin Wan Street, Hung Hom Bay Reclamation, Kowloon",Commercial,1.3900 ha,,,December 2009,2009/2010,1
358,STTL 525,"Shatin Area 56A, Kau To (Site A)",Residential R2,2.1900 ha,,,October 2009,2009/2010,0
359,STTL 482,"Site 11, Area 77, Ma On Shan, Sha Tin",Commercial,0.5220 ha,,,March 2010,2009/2010,0
360,STTL 412,"Junction of On Kwan Street and On Lai Street, Shek Mun, Sha Tin",Business,0.5900 ha,,,December 2009,2009/2010,0
361,TCTL 11,"Area 3A, Tung Chung, Lantau",Commercial,1.0000 ha,,,December 2009,2009/2010,0
362,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Hotel and Residential / Commercial,0.7887 ha,,,Now,2010/2011,1
363,IL 9007,"103 Mt. Nicholson Road, The Peak, Hong Kong",Residential R3,2.3312 ha,,,Now,2010/2011,1
364,IL 8949,"21, 23 and 25 Borrett Road, Mid-Levels West",Residential R2,1.0488 ha,,,Now,2010/2011,1
365,KIL 11175,"Junction of Fat Kwong Street and Chung Hau Street, Homantin, Kowloon (Ex-Valley Road Estate Ph 2)",Residential R2,1.6151 ha,,,Now,2010/2011,1
366,NKIL 6493,"Inverness Road, Kowloon Tong",Residential R3,0.7046 ha,,,Now,2010/2011,1
367,IL 8963,"Former Lingnan College Site, Stubbs Road",Residential R3,1.4900 ha,,,March 2011,2010/2011,0
368,NKIL 6311,"Junction of Sheung Yuet Road, Wang Tai Road and Wang Yuen Street, Kowloon Bay",Hotel,0.2579 ha,,,Now,2010/2011,1
369,NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Hotel,0.6600 ha,,,Now,2010/2011,1
370,NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Hotel,0.7083 ha,,,Now,2010/2011,1
371,TSWTL 26,"Area 108A, Tin Shui Wai",Hotel,0.6500 ha,,,Now,2010/2011,1
372,Lot 1950 in DD 221,"Sai Kung Town, Area 4",Hotel,1.7940 ha,,,Now,2010/2011,1
373,IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.5369 ha,,,Now,2010/2011,1
374,IL 8970,"373 Queen's Road East, Hong Kong",Hotel,0.0717 ha,,,Now,2010/2011,1
375,KIL 11205,"Junction of Hung Luen Road and Wa Shun Street, Hung Hom Bay Reclamation, Kowloon",Hotel,1.5623 ha,,,Now,2010/2011,1
376,NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2010/2011,1
377,NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.2808 ha,,,Now,2010/2011,1
378,Lot 676 in DD Peng Chau,Peng Chau,Residential R3,0.4564 ha,,,Now,2010/2011,1
379,Lot 734 in DD 4,"Mui Wo, Lantau",Residential R3,0.2419 ha,,,Now,2010/2011,1
380,FSSTL 202,"Area 21, Junction of Fan Leng Lau Road, Wo Muk Road and Luen Hing Street, Fanling",Residential R1,0.2560 ha,,,Now,2010/2011,1
381,FSSTL 177,"Area 19, Sha Tau Kok Road, Fanling",Residential R1,0.8900 ha,,,Now,2010/2011,1
382,Lot 2129 in DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2010/2011,1
383,CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.1804 ha,,,Now,2010/2011,1
384,KIL11125,"Ex-CAS Training Centre, 204 Argyle Street, Kowloon",Residential R2,0.7326 ha,,,Now,2010/2011,1
385,RBL 1165,"Near 110 Repulse Bay Road, Hong Kong",Residential R3,0.4250 ha,,,Now,2010/2011,1
386,RBL 1168,"Near 35 South Bay Road, Hong Kong",Residential R3,0.1338 ha,,,Now,2010/2011,1
387,Lot 1588 in DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay, Sai Kung",Residential R4,0.7615 ha,,,Now,2010/2011,1
388,KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Hung Hom, Kowloon",Residential R1,0.1902 ha,,,Now,2010/2011,1
389,KIL 11120,"Hung Hom Bay Reclamation Site D1, Junction of Oi King Street and Hung Luen Road, Kowloon",Residential R2,0.7551 ha,,,Now,2010/2011,1
390,StIL 91,"Hoi Fung Path, Stanley",Residential R3,0.0615 ha,,,Now,2010/2011,1
391,Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,Now,2010/2011,1
392,Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1780 ha,,,Now,2010/2011,1
393,Lot 726 in DD 4,"Mui Wo, Lantau",Residential and Commercial,0.2260 ha,,,Now,2010/2011,1
394,Lot 1613 in DD 222,"Kap Pin Long, Sai Kung",Residential R4,0.1733 ha,,,Now,2010/2011,1
395,TCTL 37,"Tung Chung Area 55b, Lantau",Residential R2,2.6200 ha,,,Now,2010/2011,1
396,STTL 562,"Shatin Area 56A, Kau To (Site B5)",Residential R3,0.4680 ha,,,Now,2010/2011,1
397,STTL 563,"Shatin Area 56A, Kau To (Site B6)",Residential R3,0.5950 ha,,,Now,2010/2011,1
398,STTL 564,"Shatin Area 56A, Kau To (Site B7)",Residential R3,0.5480 ha,,,Now,2010/2011,1
399,STTL 565,"Shatin Area 56A, Kau To (Site B1)",Residential R3,0.8590 ha,,,Now,2010/2011,1
400,STTL 566,"Shatin Area 56A, Kau To (Site B2)",Residential R3,0.8080 ha,,,Now,2010/2011,1
401,STTL 567,"Shatin Area 56A, Kau To (Site B3&4)",Residential R3,1.9700 ha,,,Now,2010/2011,1
402,STTL 525,"Shatin Area 56A, Kau To (Site A)",Residential R2,2.3085 ha,,,Now,2010/2011,1
403,Lot 4309 in DD 124,"Tan Kwai Tsuen, Hung Shui Kiu, Yuen Long",Residential R3,1.1192 ha,,,Now,2010/2011,1
404,NKIL 6498,"62 Begonia Road, Yau Yat Chuen, Kowloon Tong",Residential R3,0.2810 ha,,,Now,2010/2011,1
405,TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,March 2011,2010/2011,1
406,NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial (Including Public Car Park),0.4878 ha,,,Now,2010/2011,1
407,NKIL 6312,"Junction of Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,Now,2010/2011,1
408,NKIL 6313,"Cheung Yip Street, Kowloon Bay",Business,0.3795 ha,,,Now,2010/2011,1
409,Lot 1176 in DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Now,2010/2011,1
410,YLTL 458,"Junction of Fu Yip Street and Wang Yip Street West, Tung Tau, Yuen Long",Business,0.4748 ha,,,Now,2010/2011,1
411,KIL 11111,"Junction of Hung Luen Road and Kin Wan Street, Hung Hom Bay Reclamation, Kowloon",Commercial,1.3703 ha,,,Now,2010/2011,1
412,TCTL 11,"Area 3A, Tung Chung, Lantau",Commercial,1.0026 ha,,,April 2010,2010/2011,1
413,STTL 482,"Site 11, Area 77, Ma On Shan, Sha Tin",Commercial,0.5090 ha,,,August 2010,2010/2011,1
414,RBL 1190,"8-12 Deep Water Bay Drive, Shouson Hill",Residential R3,1.0249 ha,,,December 2010,2010/2011,0
415,Lot 724 in DD 332,"Cheung Sha Site 406, Lantau",Residential R4,0.7390 ha,,,November 2010,2010/2011,0
416,Lot 726 in DD 332,"Cheung Sha Site 407, Lantau",Residential R4,0.7540 ha,,,November 2010,2010/2011,0
417,Lot 1282 in DD 253,"Junction of Pak Shek Wo San Tsuen Road and Clear Water Bay Road, Sai Kung",Residential R3,0.2384 ha,,,March 2011,2010/2011,0
418,Lot 678 in DD Peng Chau,Peng Chau,Residential and Commercial,0.5200 ha,,,August 2010,2010/2011,0
419,HHIL 556,"5-23 Lee Kung Street, Hung Hom",Residential R1,0.1300 ha,,,September 2010,2010/2011,0
420,Lot 2086 in DD 105,"Ngau Tam Mei, off San Tam Road, near Maple Gardens, Yuen Long",Residential R4,2.3580 ha,,,March 2011,2010/2011,0
421,TMTL 490,"Castle Peak Road, Tai Lam Chung, Tuen Mun",Residential R3,0.2050 ha,,,January 2011,2010/2011,0
422,TMTL 434,"Junction of Ka Wo Li Hill Road and Castle Peak Road, Area 55, So Kwun Wat, Tuen Mun",Residential R3,0.3600 ha,,,January 2011,2010/2011,0
423,HHIL 555,"Junction of Bulkeley Street and Gillies Avenue South, Hung Hom",Residential R1,0.0575 ha,,,March 2011,2010/2011,0
