Unnamed: 0,Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
45,STTL 449,"Sites 21 and 22, Area 86B, Ma On Shan",Residential R2,2.1100 ha,5,50.0,December 2001,2001/2002,0
46,NKIL 6196,"Junction of Cornwall Street and Tat Chee Avenue, Kowloon Tong",Residential R3,1.4600 ha,1.916,50.0,March 2002,2001/2002,0
47,KCTL 486,"Kwai Shing Circuit, Kwai Chung",Private Sector Participation Scheme,0.4658 ha,4.41/0.09,5.0,April 2001,2001/2002,0
48,STTL 507,"Area 11, Shek Mun, Shatin",Private Sector Participation Scheme,4.0450 ha,6.42/0.14,30.0,April 2001,2001/2002,0
49,TKOTL 77,"Area 73B, Tseung Kwan O",Private Sector Participation Scheme,1.7400 ha,7.84/0.16,40.0,April 2001,2001/2002,0
50,TKOTL 61,"Area 65B, Tseung Kwan O",Private Sector Participation Scheme,4.0600 ha,6.71/0.11,50.0,September 2001,2001/2002,0
51,YLTL 518,Yuen Long Estate,Private Sector Participation Scheme,1.8800 ha,4.97/0.05,20.0,February 2002,2001/2002,0
52,KIL 11110,Hung Hom Bay Reclamation,Commercial,2.0364 ha,5.28,50.0,April 2001,2001/2002,1
53,IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4160 ha,15,50.0,March 2002,2001/2002,0
54,KIL 11103,Hung Hom Bay Reclamation,Commercial and Multi-storey Carpark,0.9940 ha,12,50.0,April 2001,2001/2002,1
55,NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial and Multi-storey Carpark,0.4878 ha,12,20.0,April 2001,2001/2002,1
56,NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Commercial and Multi-storey Carpark,0.6623 ha,12,40.0,April 2001,2001/2002,0
57,KCTL 487,"Wing Kei Road, Kwai Chung",Industrial/Office,0.1480 ha,9.5,2.0,December 2001,2001/2002,0
58,Lot 2035 D.D. 121,"Tong Yan San Tsuen, Yuen Long",Industrial/Godown,0.1090 ha,3,0.5,April 2001,2001/2002,0
59,Lot 1142 D.D. 215,"Hong Tsuen Road, Sai Kung Tuk, Sai Kung",Industrial/Godown and Vehicle Repair Workshop,0.2400 ha,5.167,2.0,April 2001,2001/2002,1
60,KCTL 478,"Wing Kin Road, Kwai Chung",Industrial/Godown and Multi-storey Carpark and LPG Vehicle Repair Workshop,0.3707 ha,9.5,5.0,April 2001,2001/2002,1
61,TYTL 164,"Tsing Keung Street, Tsing Yi",LPG Vehicle Repair Workshop,0.6216 ha,2.5,2.0,April 2001,2001/2002,0
62,TYTL 168,"Tam Kon Shan Road, Tsing Yi",Shipyard,0.2215 ha,,1.0,April 2001,2001/2002,0
63,TYTL 169,"Tam Kon Shan Road, Tsing Yi",Shipyard,0.1685 ha,,0.5,April 2001,2001/2002,0
