Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,,,Aug-2006,2006/2007,1
IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4110 ha,,,Sep-2006,2006/2007,1
Lot 1950 DD 221,"Sai Kung Town, Area 4",Commercial,1.7940 ha,,,Feb-2007,2006/2007,1
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.4667 ha,,,Planning Brief Under Preparation,2006/2007,1
IL 8914,Ex-Hollywood Road Police Quarters,Residential R1,0.5818 ha,,,Planning Brief Under Preparation,2006/2007,1
Lot 246 DD 331,"Cheung Sha, Lantau Island",Residential R4,0.2240 ha,,,Jun-06,2006/2007,0
TMTL 449,"Area 58, Tuen Mun (Tsing Fat Street)",Residential R3,1.7040 ha,,,Jul-06,2006/2007,0
NKIL6374,1 Broadcast Drive,Residential R2,0.6080 ha,,,Sep-06,2006/2007,0
STTL 433,"Junction of On Kwan Street and On Yiu Street, Area 11, Sha Tin",Business (incl Public Storey Carpark),0.8530 ha,,,Sep-06,2006/2007,0
KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Homantin, Hung Hom, Kowloon",Residential R1,0.1880 ha,,,Oct-06,2006/2007,0
NKIL 6309,"Ex-Wong Tai Sin Police Quarters, 3 Chun Yan Street",Residential R1,0.9470 ha,,,Oct-06,2006/2007,0
FSSTL 225,"89-95 San Fung Avenue, Shek Wu Hui, Sheung Shui",Residential / Commercial,0.0306 ha,,,Oct-06,2006/2007,0
TPTL 195,"Former Departmental Quarters, Plover Cove Road, Tai Po",Residential / Commercial,0.2685 ha,,,Oct-06,2006/2007,0
NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial,0.4878 ha,,,Oct-06,2006/2007,0
Lot 676 DD Peng Chau,Peng Chau,Residential R3,0.4640 ha,,,Dec-06,2006/2007,0
STTL 463,"Junction of On Kwan Street and On Yiu Street, Area 11, Sha Tin",Business,0.7190 ha,,,Dec-06,2006/2007,0
