OBJECTID,DATASET_EN,DATASET_TC,ADDRESS_EN,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NSEARCH06_EN,NSEARCH06_TC,NSEARCH07_EN,NSEARCH07_TC,NSEARCH08_EN,NSEARCH08_TC,NSEARCH09_EN,NSEARCH09_TC,NSEARCH10_EN,NSEARCH10_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
541,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"No. 83 Second Street, Sai Ying Pun, Hong Kong, Phase 2",香港西營盤 第二街 83 號,2018,2018,HONG KONG ISLAND,香港島,PR13/2018(OP),PR13/2018(OP),PR13/2018(OP),PR13/2018(OP),Institutional,機構,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2018013GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2018013GFACe.pdf,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,816386.8,832647.1,22.28636936,114.14173789,2024-02-28T11:23:23,832647.0999999996,816386.8000000007
542,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"Pak Tam Chung, Sai Kung, New Territories",新界西貢 北潭涌,2019,2019,NEW TERRITORIES,新界,NT5/2019(OP),NT5/2019(OP),NT5/2019(OP),NT5/2019(OP),Hostel block,營舍大樓,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019005GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019005GFACe.pdf,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,828454.4,851039.3,22.39528663,114.32032163,2024-02-28T11:23:23,851039.2999999998,828454.4000000004
543,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"118 Shatin Pass Road, Kowloon 2.8.1/(12)",九龍 沙田㘭道 118 號 2.8.1/(12),2022,2022,KOWLOON & NEW TERRITORIES,九龍及新界,KN 13/2022(OP),KN 13/2022(OP),KN 13/2022(OP),KN 13/2022(OP),Dangerous goods store,危險品倉庫,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2022013GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2022013GFACe.pdf,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,822944.7000000001,838315.4,22.34559432,114.19675003,2024-02-28T11:23:23,838315.4000000004,822944.6999999993
544,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"81 Hung To Road, Kwun Tong, Kowloon",九龍觀塘鴻圖道 81 號,2021,2021,KOWLOON,九龍,KN34/2021(OP),KN34/2021(OP),KN34/2021(OP),KN34/2021(OP),Office extension,辦公室擴建部分,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2021034GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2021034GFACe.pdf,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,Not Applicable,Not Applicable,Not Applicable,818820.9,841190.9,22.30834743,114.2246521,2024-02-28T11:23:23,841190.9000000004,818820.9000000004
545,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"6 South Bay Close, (Hong Kong International School), Hong Kong",香港南灣坊 6 號,2018,2018,HONG KONG ISLAND,香港島,HK54/2018(OP),HK54/2018(OP),HK54/2018(OP),HK54/2018(OP),School extension,學校擴建部分,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018054GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018054GFACe.pdf,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,811120.5,838756.1,22.23881318,114.20101031,2024-02-28T11:23:23,838756.0999999996,811120.5
546,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"8 Ping Kin Lane, Yuen Long, New Territories",新界元朗 屏健里 8 號,2019,2019,NEW TERRITORIES,新界,NT32/2019(OP),NT32/2019(OP),NT32/2019(OP),NT32/2019(OP),Residence,住所,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019032GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019032GFACe.pdf,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,833405.9,819535.1,22.43998313,114.01432536,2024-02-28T11:23:23,819535.0999999996,833405.9000000004
547,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"25 Shan Kwong Road, Hong Kong",香港山光道 25 號,2019,2019,HONG KONG ISLAND,香港島,HK29/2019(OP),HK29/2019(OP),HK29/2019(OP),HK29/2019(OP),Clubhouse building,會所大樓,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2019029GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2019029GFACe.pdf,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,814174.5,837258.9,22.26639438,114.18648823,2024-02-28T11:23:23,837258.9000000004,814174.5
548,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"Section 1, Tsuen Wan Chinese Permanent Cemetery, Tsuen Wan, New Territories D.D. 446 Lot 295 3.2.9/(3)",新界荃灣荃灣華人永遠墳場第1段第446約地段第295號3.2.9/(3),2022,2022,KOWLOON & NEW TERRITORIES,九龍及新界,NT55/2022/OP,NT55/2022/OP,NT55/2022/OP,NT55/2022/OP,Columbarium,骨灰龕,Non-Domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022055GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022055GFACe.pdf,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,824617.1,829957.8,22.36068637,114.11560931,2024-02-28T11:23:23,829957.7999999998,824617.0999999996
549,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"393 Shau Kei Wan Road, Hong Kong",香港筲箕灣道 393 號,2018,2018,HONG KONG ISLAND,香港島,HK43/2018(OP),HK43/2018(OP),HK43/2018(OP),HK43/2018(OP),Apartment/Commercial,寓所／商業處所,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018043GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018043GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018043GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018043GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018043EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018043EN.pdf,Bronze,銅,Not Applicable,不適用,Not Applicable,不適用,815368.4,841618.3,22.27716838,114.22878823,2024-02-28T11:23:23,841618.2999999998,815368.4000000004
550,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"28 Mei Tin Road, Sha Tin, New Territories",新界沙田 美田路 28 號,2019,2019,NEW TERRITORIES,新界,NT17/2019(OP),NT17/2019(OP),NT17/2019(OP),NT17/2019(OP),Apartment/Commercial,寓所／商業處所,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019017GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019017GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019017GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019017GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019017EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019017EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級(截至佔用許可證簽發日),Not Applicable,不適用,Not Applicable,不適用,826188.2000000001,836221.2000000001,22.37488606,114.17642017,2024-02-28T11:23:23,836221.2000000002,826188.1999999993
551,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"37 Garden Road, Hong Kong",香港花園道 37 號,2019,2019,HONG KONG ISLAND,香港島,HK76/2019(OP),HK76/2019(OP),HK76/2019(OP),HK76/2019(OP),Lift tower extension,升降機塔樓擴建部分,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2019076GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2019076GFACe.pdf,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,Not Applicable,不適用,815373.1,834305.8,22.27721742,114.15783497,2024-02-28T11:23:23,834305.7999999998,815373.0999999996
552,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"1 Sai Yuen Lane, Hong Kong",香港西源里 1 號,2018,2018,HONG KONG ISLAND,香港島,HK26/2018(OP),HK26/2018(OP),HK26/2018(OP),HK26/2018(OP),Apartment/Commercial,寓所／商業處所,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018026GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018026GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018026GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018026GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018026EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018026EN.pdf,Gold,金,Not Applicable,不適用,Not Applicable,不適用,816322,832776.1,22.28578422,114.14299002,2024-02-28T11:23:23,832776.0999999996,816322
553,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"8 Lam Tin Street, Kwai Chung, New Territories 3.2.7/(16)",新界 葵涌 藍田街 8 號 3.2.7/(16),2023,2023,KOWLOON & NEW TERRITORIES,九龍及新界,NT7/2023/OP,NT7/2023/OP,NT7/2023/OP,NT7/2023/OP,Data centre,數據中心,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/NT2023007GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/NT2023007GFACe.pdf,"<span style=""text-decoration: underline;"">https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/NT2023007GR.pdf</span>",https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/NT2023007GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/NT2023007EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/NT2023007EN.pdf,Provisional Assessment Rating: Gold (as at OP),暫定評估級別: 金<br/> (截至佔用許可證簽發日),Not applicable,不適用,Not applicable,不適用,825494.8,832186,22.36861905,114.13724064,2024-02-28T11:23:23,832186,825494.8000000007
554,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"51-61 Tai Po Road, Kowloon",九龍大埔道 51-61 號,2020,2020,KOWLOON,九龍,KN6/2020(OP),KN6/2020(OP),KN6/2020(OP),KN6/2020(OP),Apartment/Commercial,寓所／商業處所,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2020006GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2020006GFACe.pdf,Not Applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2020006EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2020006EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級(截至佔用許可證簽發日),Not Applicable,不適用,Not Applicable,不適用,821389.3,835012.7000000001,22.33154808,114.16468938,2024-02-28T11:23:23,835012.7000000002,821389.3000000007
555,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"San Tam Road, Ngau Tam Mei, Yuen Long, New Territories D.D. 105 Lot 2115",新界元朗牛潭尾新潭路第 105 約地段第 2115 號,2021,2021,NEW TERRITORIES,新界,NT20/2021(OP),NT20/2021(OP),NT20/2021(OP),NT20/2021(OP),"Single family house, Caretaker's office, Water meter room, Recreational facilities and plant room",單一家庭住宅建築物、管理員辦事處、水錶房、康樂設施及機房,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021020GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021020GFACe.pdf,Not Applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021020EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021020EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級 (截至佔用許可證簽發日),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021020RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021020RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021020OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021020OTTV.pdf,838547,824160.9,22.48644897,114.05922295,2024-02-28T11:23:23,824160.9000000004,838547
556,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"Hong Kong International Airport, Chek Lap Kok, Lantau Island, New Territories C.L.K.L.1 R.P. and the Ext. thereto 9.5.1/(1)",新界 大嶼山 赤鱲角 香港國際機場 赤鱲角地段第 1 號餘段及其增批地段 9.5.1/(1),2022,2022,KOWLOON & NEW TERRITORIES,九龍及新界,NT 1/2022(OP),NT 1/2022(OP),NT 1/2022(OP),NT 1/2022(OP),Underground rubber removal facilities,地下飛機輪胎膠屑清理設施,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022001GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022001GFACe.pdf,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,824618.6,836129.3,22.36071176,114.17552822,2024-02-28T11:23:23,836129.2999999998,824618.5999999996
