,OBJECTID,DATASET_EN,ADDRESS_EN,SEARCH01_EN,SEARCH02_EN,NSEARCH01_EN,NSEARCH02_EN,NSEARCH03_EN,NSEARCH04_EN,NSEARCH05_EN,NSEARCH06_EN,NSEARCH07_EN,NSEARCH08_EN,NSEARCH09_EN,NSEARCH10_EN,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing,max_item
326,327,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"1 Lohas Park Road, Site I, Tseund Kwan O Area 86, New Territories",2022,NEW TERRITORIES,PR2/2022(OP),PR2/2022(OP),Apartmentwith residential'recreational facilitiesGuard room,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2022002GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2022002GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2022002EN.pdf,Provisional Assessment Rating: Gold (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2022002RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2022002OTTV.pdf,817083.7000000001,845614.7000000001,22.29264112,114.26757619,2024-02-28T11:23:23,845614.7000000002,817083.6999999993,True
327,328,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"1 Yuet Yuen Street, Hong Kong",2018,HONG KONG ISLAND,HK38/2018(OP),HK38/2018(OP),Apartment/Commercial,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2018038GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,816927.0,838257.2000000001,22.29125085,114.19617777,2024-02-28T11:23:23,838257.2000000002,816927.0,
328,329,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"128 Wong Ma Kok Road, Hong Kong 1.9.5/(15)",2023,HONG KONG ISLAND,HK31/2023/OP,HK31/2023/OP,"Apartment, Single family house, Clubhouse",Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/HK2023031GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/HK2023031GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/HK2023031EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/HK2023031RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2023/HK2023031OTTV.pdf,807423.0,840057.0,22.20542,114.21362,2024-02-28T11:23:23,840057.0,807423.0,True
329,330,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"Advanced Training Centre, Hong Chi Association, Pinehill Village, Tai Po, New Territories",2018,NEW TERRITORIES,NT22/2018(OP),NT22/2018(OP),Institutional,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2018022GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,835948.2000000001,835939.1,22.46302327,114.17367926,2024-02-28T11:23:23,835939.0999999996,835948.1999999993,
330,331,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"50 Wang Lee Street, Yuen Long Industrial Estate, Yuen Long, New Territories",2019,NEW TERRITORIES,NT59/2019(OP),NT59/2019(OP),Industrial extension,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2019059GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,835116.0,821053.4,22.45544059,114.02905816,2024-02-28T11:23:23,821053.4000000004,835116.0,
331,332,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"5 Victory Avenue, Kowloon 2.3.5/(1)",2022,KOWLOON & NEW TERRITORIES,KN30/2022/OP,KN30/2022/OP,Apartment/Commercial with residents' recreational facilities,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2022030GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2022030EN.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2022030RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2022030OTTV.pdf,820028.6,836008.9,22.3192606,114.17435931,2024-02-28T11:23:23,836008.9000000004,820028.5999999996,True
332,333,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"10 Heng Lam Street, Kowloon",2020,KOWLOON,KN9/2020(OP),KN9/2020(OP),"Sprinkler pump room, Fire services pump room & Potable water boosterpump room",Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2020009GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,821800.3,837455.6,22.33525975,114.18840278,2024-02-28T11:23:23,837455.5999999996,821800.3000000007,
333,334,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"38 Museum Drive, 6 Austin Road West and 8 Austin Road West, Kowloon",2020,KOWLOON,HK58/2020(OP),HK58/2020(OP),Museum complexMuseum ancillary building,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2020058GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2020058GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2020058EN.pdf,Provisional Assessment Rating: Gold (as at OP),Not Applicable,Not Applicable,817992.0,834439.3,22.30086839,114.15912722,2024-02-28T11:23:23,834439.2999999998,817992.0,
334,335,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"8 Ma Sik Road, Fanling, New Territories 6.2.5/(22)",2022,KOWLOON & NEW TERRITORIES,NT79/2022/OP,NT79/2022/OP,Apartment (phase 3),Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022079GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022079GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022079EN.pdf,Provisional Assessment Rating: Gold (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022079RTTV.pdf,Not applicable,840250.3,832973.9,22.50187,114.14486,2024-02-28T11:23:23,832973.9000000004,840250.3000000007,True
335,336,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"180 Wong Chuk Hang Road, Hong Kong",2021,HONG KONG ISLAND,HK20/2021(OP),HK20/2021(OP),Water park,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2021020GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,810832.3,835371.2000000001,22.23621202,114.16817538,2024-02-28T11:23:23,835371.2000000002,810832.3000000007,
