,OBJECTID,DATASET_EN,ADDRESS_EN,SEARCH01_EN,SEARCH02_EN,NSEARCH01_EN,NSEARCH02_EN,NSEARCH03_EN,NSEARCH04_EN,NSEARCH05_EN,NSEARCH06_EN,NSEARCH07_EN,NSEARCH08_EN,NSEARCH09_EN,NSEARCH10_EN,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing,max_item
0,1,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"15 Sheung Yuet Road, Kowloon 2.8.0/(26)",2025,KOWLOON & NEW TERRITORIES,KN8/2025/OP,07/03/2025,Commercial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008GR.pdf,Not applicable,Not applicable,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008OTTV.pdf,820347.8,839671.6,22.322139999999997,114.20991,2026-04-23T10:11:22,839671.5999999996,820347.8000000007,True
1,2,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"101 King's Road, Hong Kong. 1.5.1/(11)",2025,HONG KONG ISLAND,HK53/2025/OP,31/10/2025,Apartment/Commercial with residents' recreational facilities Commercial,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053EN.pdf,Provisional Assessment Rating : Bronze (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053OTTV.pdf,816469.6,837884.5,22.28712,114.19256,2026-04-23T10:10:57,837884.5,816469.5999999996,True
2,3,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"18 Ap Lei Chau Praya Road, Hong Kong 1.7.4/(9) , 1.7.4/(12) & 1.7.4/(13)",2025,HONG KONG ISLAND,HK49/2025/OP,14/10/2025,Apartment with residents' recreational facilities,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049EN.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049OTTV.pdf,811385.00814182,834384.15538807,22.24120256,114.15859996,2026-04-23T10:10:41,834384.1553999996,811385.0080999993,True
3,4,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"281 Gloucester Road, Hong Kong 1.4.6/(3)",2025,HONG KONG ISLAND,HK37/2025/OP,18/08/2025,Commercial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037EN.pdf,Provisional Assessment Rating: Platinum (as at OP),Not applicable,Not applicable,815883.7000000001,837043.6,22.28183,114.1844,2026-04-23T10:08:59,837043.5999999996,815883.6999999993,True
4,5,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"9 Eastern Street, Hong Kong 1.1.2/(20)",2025,HONG KONG ISLAND,HK34/2025/OP,09/06/2025,Apartment/Commercial with residents' recreational facilities,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034OTTV.pdf,816511.9,832840.0,22.2875,114.14361,2026-04-23T10:08:31,832840.0,816511.9000000004,True
5,6,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"38 Spring Garden Lane, Hong Kong 1.3.1/(32)",2025,HONG KONG ISLAND,HK31/2025/OP,09/05/2025,Apartment/Commercial with residents' recreational facilities,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031OTTV.pdf,815125.2000000001,835824.4,22.27498,114.17257,2026-04-23T10:03:38,835824.4000000004,815125.1999999993,True
6,7,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"45 Island Road, Hong Kong 1.9.1/(6)",2025,HONG KONG ISLAND,HK6/2025/OP,28/01/2025,Caretaker office with disabled toilet,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025006GFACe.pdf,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,811332.20936469,837455.18386259,22.24072637,114.18839065,2026-04-23T10:03:08,837455.1838999996,811332.2094,True
7,8,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"135 Tai Hang Road, Hong Kong 1.4.9/(20)",2025,HONG KONG ISLAND,HK28/2025/OP,07/05/2025,Apartment with residents' recreational facilities Plant room,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028EN.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028OTTV.pdf,814747.25190043,837869.8310679,22.27156613,114.19241637,2026-04-23T10:02:17,837869.8311000001,814747.2519000005,True
8,9,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"33 Kennedy Road, Hong Kong 1.3.1/(60)",2025,HONG KONG ISLAND,HK22/2025/OP,25/03/2025,Apartment with residents' recreational facilities,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022OTTV.pdf,814990.1,835777.0,22.27376,114.17211,2026-04-23T10:01:19,835777.0,814990.0999999996,True
9,10,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"32 Plantation Road, Hong Kong 1.8.2/(10)",2022,HONG KONG ISLAND,HK48/2022/OP,05/10/2022,Vertical lifting platform and plant rooms,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048EN.pdf,Not applicable,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048OTTV.pdf,814296.64806281,833931.83523348,22.26749606,114.15420797,2026-04-23T10:00:41,833931.8351999996,814296.6480999999,True
10,11,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"1 Lohas Park Road, Tseung Kwan O, New Territories 8.3.9/(10)",2025,KOWLOON & NEW TERRITORIES,PR7/2025/OP,08/10/2025,Apartment with residents' recreational facilities and covered walkway (phase XIIA),Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007EN.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007OTTV.pdf,817296.60969265,845822.85026199,22.29456268,114.269597,2026-04-23T09:54:57,845822.8503,817296.6096999999,True
11,12,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"3 On Kui Street, New Territories 6.2.5/(59)",2025,KOWLOON & NEW TERRITORIES,NT3/2025/OP,23/01/2025,Data centre,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003GR.pdf,Not applicable,Provisional Assessment Rating: Unclassified (as at OP),Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003OTTV.pdf,839591.5,832811.2000000001,22.49592,114.14328,2026-04-23T09:53:57,832811.2000000002,839591.5,True
12,13,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"37 Cameron Road, Kowloon 2.1.2/(17)",2025,KOWLOON & NEW TERRITORIES,KN32/2025/OP,24/06/2025,Commercial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025032GFACe.pdf,Not applicable,Not applicable,Provisional Assessment Rating: Unclassified (as at OP),Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025032OTTV.pdf,817855.14347526,836079.94616038,22.29963309,114.17504936,2026-04-23T09:53:02,836079.9462000001,817855.1435000002,True
13,14,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"550 Castle Peak Road, Kowloon 2.6.1/(14)",2025,KOWLOON & NEW TERRITORIES,KN30/2025/OP,24/06/2025,Industrial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),Not applicable,Not applicable,822261.1,833537.7000000001,22.33942,114.15037,2026-04-23T09:52:02,833537.7000000002,822261.0999999996,True
14,15,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"57A Nga Tsin Wai Road, Kowloon 2.7.1/(46)",2025,KOWLOON & NEW TERRITORIES,KN28/2025/OP,18/06/2025,Apartment with residents' recreational facilities,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028EN.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028OTTV.pdf,821093.28025759,837105.05792522,22.32887522,114.18499936,2026-04-23T09:49:34,837105.0579000004,821093.2803000007,True
15,16,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"33 Hung To Road, Kowloon 2.9.5/(16)",2025,KOWLOON & NEW TERRITORIES,KN23/2025/OP,08/05/2025,Industrial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025023GFACe.pdf,Not applicable,Not applicable,Provisional Assessment Rating: Unclassified (as at OP),Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025023OTTV.pdf,819288.3,840772.2000000001,22.312569999999997,114.22059,2026-04-23T09:48:39,840772.2000000002,819288.3000000007,True
16,17,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"36A Braga Circuit, Kowloon 2.3.2/(7)",2025,KOWLOON & NEW TERRITORIES,KN21/2025/OP,25/04/2025,Single family house,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021GFACe.pdf,Not applicable,Not applicable,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021OTTV.pdf,820578.49877173,836216.88277874,22.32422664,114.1763782,2026-04-23T09:47:52,836216.8827999998,820578.4988000002,True
17,18,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"2 Shing King Street, Kowloon 2.8.6/(11)",2025,KOWLOON & NEW TERRITORIES,KN13/2025/OP,31/03/2025,Apartment with residents' recreational facilities,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013EN.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013OTTV.pdf,819161.8,839624.4,22.31143,114.20945,2026-04-23T09:46:51,839624.4000000004,819161.8000000007,True
18,19,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"28 Ming Fung Street, Kowloon 2.8.1/(19)",2025,KOWLOON & NEW TERRITORIES,KN10/2025/OP,21/03/2025,Apartment/Commercial with residents' recreational facilities,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025010GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025010EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025010RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025010OTTV.pdf,822804.7000000001,838297.9,22.34433,114.19658,2026-04-23T09:46:28,838297.9000000004,822804.6999999993,True
19,20,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"1 Chung Hau Street, Kowloon 2.3.6/(15)",2025,KOWLOON & NEW TERRITORIES,PR2/2025/OP,18/02/2025,"Apartment with residents' recreational facilities, Clubhouse, Apartment with residents' recreational facilities, Lift shaft, Covered walkway, Portal",Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025002GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025002GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025002EN.pdf,Provisional Assessment Rating: Gold (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025002RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025002OTTV.pdf,819096.32279334,836934.11630338,22.31084158,114.18333926,2026-04-23T09:44:17,836934.1162999999,819096.3227999993,True
20,21,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"72 Pak Wo Road, New Territories 6.2.8/(8)",2025,KOWLOON & NEW TERRITORIES,NT38/2025/OP,14/07/2025,"Subsidized sale flat, elderly flats under the senior citizen residences scheme, public rental housing, residential care home for elderly and commercial with residents' recreational facilities (phase 1 and phase 2)",Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025038GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025038GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025038EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025038RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025038OTTV.pdf,838870.7000000001,832389.1,22.48941,114.13918,2026-04-23T09:43:01,832389.0999999996,838870.6999999993,True
21,22,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"Kai Tak Area 4C Site 3, Kowloon N.K.I.L. 6551 2.8.6/(11)",2025,KOWLOON & NEW TERRITORIES,KN34/2025/OP,17/07/2025,Apartment/Commercial with residents' recreational facilities Pedestrian walkway & footbridge link,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025034GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025034GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025034EN.pdf,Provisional Assessment Rating: Gold (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025034RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025034OTTV.pdf,819173.83688883,839402.99330691,22.31153885,114.2073008,2026-04-23T09:42:11,839402.9933000002,819173.8368999995,True
22,23,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"189 Castle Peak Road, Chau Tau, New Territories 5.4.5/(6)",2024,KOWLOON & NEW TERRITORIES,NT1/2024/OP,12/01/2024,Electricity substation,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/NT2024001GFACe.pdf,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,840513.5,828021.7000000001,22.50423,114.09673,2024-10-23T16:05:58,828021.7000000002,840513.5,True
23,24,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"100 Bedford Road, Kowloon 2.2.1/(24)",2024,KOWLOON & NEW TERRITORIES,KN9/2024/OP,08/03/2024,Commercial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/KN2024009GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/KN2024009EN.pdf,Provisional Assessment Rating: Gold (as at OP),Not applicable,Not applicable,820526.9,834850.9,22.32376,114.16312,2024-10-23T16:05:24,834850.9000000004,820526.9000000004,True
24,25,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"15 Kennedy Road, Hong Kong 1.3.1/(56), 1.3.1/(73) & 1.4.0/(1)",2024,HONG KONG ISLAND,HK17/2024/OP,28/03/2024,Hotel/Commercial,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024017GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024017GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024017EN.pdf,Provisional Assessment Rating : Bronze (as at OP),Not applicable,Not applicable,815116.3,835645.1,22.2749,114.17083,2024-10-23T16:04:57,835645.0999999996,815116.3000000007,True
25,26,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"6 Broadwood Road, Hong Kong 1.4.4/(66)",2024,HONG KONG ISLAND,HK16/2024/OP,26/03/2024,"Extension of  entrance hall, gymnasium and club house function room",Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024016GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024016GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024016EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024016OTTV.pdf,814959.1,837227.1,22.27348,114.18618,2024-10-23T16:04:24,837227.0999999996,814959.0999999996,True
26,27,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"39 South Bay Road, Hong Kong 1.9.2/(15)",2024,HONG KONG ISLAND,HK14/2024/OP,14/03/2024,Apartment with residents' recreational facilities,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024014GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024014GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024014EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024014RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024014OTTV.pdf,810316.2000000001,838528.4,22.23155,114.1988,2024-10-23T16:04:05,838528.4000000004,810316.1999999993,True
27,28,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"11 Matheson Street, Hong Kong",2024,HONG KONG ISLAND,HK6/2024/OP,08/02/2024,Commercial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024006GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024006EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),Not applicable,Not applicable,815435.2000000001,836845.7000000001,22.27778,114.18248,2024-10-23T15:59:16,836845.7000000002,815435.1999999993,True
28,29,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"50 Queen's Road East, Hong Kong 1.3.1/(20)",2024,HONG KONG ISLAND,HK10/2024/OP,19/02/2024,Commercial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024010GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024010GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2024/HK2024010EN.pdf,Provisional Assessment Rating: Platinum (as at OP),Not applicable,Not applicable,815362.2000000001,835460.6,22.27712,114.16904,2024-10-23T15:58:38,835460.5999999996,815362.1999999993,True
29,30,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"Yen Chow Street West, Kowloon GLA-TNK 1284 2.5.5/(7) & 2.5.5/(11)",2022,KOWLOON & NEW TERRITORIES,KN 6/2022(OP),KN 6/2022(OP),Transitional housing F.S. pump room,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2022006GFACe.pdf,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,821021.6,834207.3,22.32822731,114.15687209,2024-02-28T11:23:23,834207.2999999998,821021.5999999996,True
30,31,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"31 Argyle Street, Kowloon",2018,KOWLOON,KN32/2018(OP),KN32/2018(OP),Apartment/Commercial,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2018032GFACe.pdf,Not Applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2018032EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),Not Applicable,Not Applicable,820032.1,835328.9,22.31929193,114.16775922,2024-02-28T11:23:23,835328.9000000004,820032.0999999996,
31,32,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"28 Tong Yin Street, Tseung Kwan O, New Territories",2018,NEW TERRITORIES,NT47/2018(OP),NT47/2018(OP),School,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2018047GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,818368.2000000001,844580.0,22.30424645,114.25754208,2024-02-28T11:23:23,844580.0,818368.1999999993,
32,33,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"28 Wan Tau Street, Tai Po, New Territories",2020,NEW TERRITORIES,NT91/2020(OP),NT91/2020(OP),Kindergarten andchild care centre,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2020091GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,834224.9,835419.0,22.44746045,114.16862661,2024-02-28T11:23:23,835419.0,834224.9000000004,False
33,34,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"West Kowloon Cultural District, Kowloon",2019,KOWLOON,HK13/2019(OP),HK13/2019(OP),Park office,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2019013GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,817858.5,834288.4,22.29966262,114.15766286,2024-02-28T11:23:23,834288.4000000004,817858.5,
