"ipa_ref","manufacturer_en","manufacturer_ch","location_of_prefabrication_factory_en","location_of_prefabrication_factory_ch","mic_type_en","mic_type_ch","model_no","module_type","intended_use_en","intended_use_ch","intended_maximum_building_height","intended_maximum_storey","date_of_acceptance","general_layout","letter_of_acceptance"
"MiC 12/2025","Jianbang Hangxiao (HK) Assembly Co.","Jianbang Hangxiao (HK) Assembly Co.","Kaiping City, Guangdong, China","開平市, 廣東, 中國惠州市, 廣東, 中國","Steel","鋼材","JIANBANG-001","A, B, C1, C2, D1, D2","Domestic","住用","56.4","18","25/7/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0122025_IPA.pdf"
"MiC 13/2025","China Road and Bridge Corporation","China Road and Bridge Corporation","Zhuhai, Guangdong, China","珠海，廣東，中國","Concrete","混凝土","CRBC-CIMC-HK-001","Type A, Type B, Type C1, Type C2, Type C3, Type RA, Type RB, Type RC, Type RD and Type RE","Domestic","住用","176.56","54","27/8/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0132025_IPA.pdf"
"MiC 14/2025","China Construction Science and Industry Group Green Technology Co., Ltd.","China Construction Science and Industry Group Green Technology Co., Ltd.","Huizhou City, Guangdong, China","惠州市, 廣東, 中國","Steel","鋼材","CCSIC-MIC-HK-S20-1","A, AR, A/G, AR/G, A/3, AR/3, B, BR, B/G, BR/G, B/3, BR/3, C1, C2, C1/3, C2/3, D1, D1/3, D2, D2/3, E1/G and E2/G","Domestic","住用","60.48","20","10/9/2025","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0142025_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0142025_IPA.pdf"
"MiC 15/2025","廣州建築灣區智造科技有限公司","廣州建築灣區智造科技有限公司","Guangzhou, Guangdong, China","廣州，廣東，中國","Concrete","混凝土","GMC-RCS-50S","Type 1, Type 1A, Type 2, Type 2A, Type 3, Type 3A, Type 5, Type 5A, Type 6, Type 6A, Type 7 and Type 7A","Domestic","住用","162.5","49","26/9/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0152025_IPA.pdf"
"MiC 16/2025","Century Well Construction Ltd.","Century Well Construction Ltd.","Guangzhou, Guangdong, China","廣州，廣東，中國","Concrete","混凝土","CCG-RC01","Type 49, Type 50, Type 51, Type 52, Type 53, Type 54, Type 55, Type 56, Type 57, Type 58, Type 59, Type 59A, Type 60, Type 60A, Type 61, Type 62, Type 63, Type 64, Type 65, Type 66, Type 67, Type 68, Type 70, Type 71, Type 72, Type 73 and Type 74","Domestic","住用","175.7","44","25/9/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0142025_IPA.pdf"
"MiC 17/2025","Kong Sing Building Company Limited","Kong Sing Building Company Limited","Jiangmen, Guangdong, China","江門，廣東，中國","Concrete","混凝土","MIC-KS03","Type A and Type B","Domestic","住用","129.56","39","3/10/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0172025_IPA.pdf"
"MiC 18/2025","上海電氣科城(英德)建築科技有限公司","上海電氣科城(英德)建築科技有限公司","Yingde City, Guangdong, China","英德市, 廣東, 中國","MiC 18-2025","鋼材","上海電氣 RC-01","A, B","Domestic","住用","129.56","39","17/10/2025","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0182025_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0182025_IPA.pdf"
"MiC 19/2025","Hip Seng Builders Limited","Hip Seng Builders Limited","Zhaoqing City, Guangdong, China","肇慶市, 廣東, 中國","MiC 19-2025","鋼材","HIPSENG-RC-01","1B,  2B","Domestic","住用","131","39","12/11/2025","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0192025_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0192025_IPA.pdf"
"MiC 20/2025","Chevalier (Construction) Company Limited","Chevalier (Construction) Company Limited","Huizhou, Guangdong, China","惠州，廣東，中國","MiC 20-2025","鋼材","LPH-SERIES-TYPE A","Type 1, Type 2, Type 2a, Type MRC, Type MRR, Type EMR, Type ELV, Type LAU, Type EL, Type EL(1, Type TOE, Type TOEa, Type BRI, Type BRI(1, Type BRIL, BRIL(1, Type CO, ST1(G, ST1(1, ST1(2, ST2(G, ST2a(G, ST2(1 and ST2(2","Domestic","住用","10.075","3","15/12/2025","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0202025_IPA.pdf"
"MiC 1/2026","廣東東方廣廈住宅科技實業有限公司","廣東東方廣廈住宅科技實業有限公司","Foshan, Guangdong, China","佛山，廣東，中國","MiC 1-2026","鋼材","廣廈模塊A","Type A and Type B","Domestic","住用","60.51","20","3/2/2026","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0012026_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0012026_IPA.pdf"
"MiC 2/2026","Bestfit Modular House Limited","Bestfit Modular House Limited","Huizhou, Guangdong, China","惠州，廣東，中國","MiC 2-2026","鋼材","Besfit-01","Type A, Type B, Type C, Type D, Type E and Type F","Office","辦公室用","9.143","3","6/2/2026","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0022026_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0022026_IPA.pdf"
"MiC 3/2026","China State Hailong Construction Technology Company Limited","China State Hailong Construction Technology Company Limited","Zhuhai City, Guangdong, China","珠海市, 廣東, 中國","MiC 3-2026","鋼材","TYPE 1, TYPE 2 & TYPE 3","1, 1A, 1-R, 2, 2-R, 3, 3-R, 4, 4B, 5, 6, 6-R, 7, 7-R, 7A, 7A-R, 7B, 8, 8-R, 8B, 9, 10, 11, 12, 13, 14, 101, 102, 103","Domestic","住用","60","20","13/02/2026","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0032026_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0032026_IPA.pdf"
"MiC 4/2026","中國土木工程集團有限公司","中國土木工程集團有限公司","Jiangmen, Guangdong, China","江門，廣東，中國","MiC 4-2026","鋼材","RC01","Type A and Type B","Domestic","住用","129.56","39","13/2/2026","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/2025/MIC0042026_IPA.pdf"
