"ipa_ref","manufacturer_en","manufacturer_ch","location_of_prefabrication_factory_en","location_of_prefabrication_factory_ch","mic_type_en","mic_type_ch","model_no","module_type","intended_use_en","intended_use_ch","intended_maximum_building_height","intended_maximum_storey","date_of_acceptance","general_layout","letter_of_acceptance"
"MiC 16/2023","Shui On Building Contractors Ltd","Shui On Building Contractors Ltd","Guangzhou, Guangdong, China","廣州, 廣東, 中國","Concrete","混凝土","SOBC-RC-MIC-23.01","SO-1A, SO-1AR, SO-1B, SO-1BR, SO-2A, SO-2B, SO-3A, SO-3AR, SO-3B, SO-3BR, SO-3C, SO-4A, SO-4AR, SO-4C and SO4CR","Domestic","住用","","34","22/09/2023","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0162023_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0162023_IPA.pdf"
"MiC 17/2023","China Road and Bridge Corporation","China Road and Bridge Corporation","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Steel","鋼材","CRBC-SMIC-HK-001","A, AR, A/G, AR/G. A/3, AR/3, B, BR, B/G, BR/G, B/3, BR/3, C1, C1/F, C1/3, C2, C2/G, C2/3, D1, D1/3, D2, D2/3, E1/G and E2/G","Domestic","住用","60.32","20","9/10/2023","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0172023_IPA.pdf"
"MiC 18/2023","Zhuhai Eastern Heavy Industry Co., Limited","Zhuhai Eastern Heavy Industry Co., Limited","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Steel","鋼材","MIC-EASTERN-STEEL-011","1, 2, 3, 4, 5, 6, 7 and 8","Domestic","住用","61.38","20","30/10/2023","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0182023_IPA.pdf"
"MiC 19/2023","Opulence Technology Limited","Opulence Technology Limited","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","OPUST20","Module 1, Module 1R, Module 2 &amp; Module 2R","Hostel","宿舍","63.63","20","17/11/2023","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0192023_IPA.pdf"
"MiC 20/2023","CR Construction Company Limited","CR Construction Company Limited","Zhaoqing, Guangdong, China","肇慶, 廣東, 中國","Steel","鋼材","CR-MIC-S20-001","A, AR, A/G, AR/G. A/3, AR/3, B, BR, B/G, BR/G, B/3, BR/3, C1, C1/F, C1/3, C2, C2/G, C2/3, D1, D1/3, D2, D2/3, E1/G and E2/G","Domestic","住用","60.32","20","17/11/2023","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0202023_IPA.pdf"
"MiC 21/2023","Aluhouse Company Limited","Aluhouse Company Limited","Zhaoqing, Guangdong, China","肇慶, 廣東, 中國","Steel","鋼材","ALUMIC","A1, A2, B1, B2, B3, B4, B4a &amp; B5","Hostel","宿舍","64.85","19","21/12/2023","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0212023_IPA.pdf"
"MiC 1/2024","NW Project Management Limited","NW Project Management Limited","Foshan, Guangdong, China","佛山, 廣東, 中國","Concrete","混凝土","NWD MODEL 1.0","Module 1, Module 1R, Module 2, Module 2R, Module 3, Module 3R, Module 4, Module 4R, Module 5, Module 5R, Module 6, Module 6R, Module 7, Module 7R, Module 8, Module 8R, Module 9, Module 9R, Module 10, Module 10R, Module 11, Module 11R, Module 12, Module 12R, Module 13, Module 13R, Module 14, Module 14R, Module 16, Module 16R, Module 17, Module 18, Module 19, Module 19R, Module 20, Module 20R, Module 21, Module 22, Module 23, Module 23R, Module 24, Module 24R, Module 25, Module 26, Module 27 &amp; Module 28","Domestic","住用","132.34","34","7/2/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC012024_IPA.pdf"
"MiC 2/2024","Sun Fook Kong Construction Limited","Sun Fook Kong Construction Limited","Qingyuan City, Guangdong, China","清遠市, 廣東, 中國","Concrete","混凝土","MIC-CON-01","A and B","Domestic","住用","129.56","39","29/2/2024","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC022024_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC022024_IPA.pdf"
"MiC 3/2024","Aluhouse Technology (GD) Company Limited","Aluhouse Technology (GD) Company Limited","Zhaoqing, Guangdong, China","肇慶, 廣東, 中國","Steel","鋼材","ALUST30","Modular No.1, Modular No.1R, Modular No.1A, Modular No.2, Modular No.2R, Modular No.2A, Modular No.3, Modular No.3R, Modular No.3A, Modular No.4, Modular No.4R, Modular No.5, Modular No.5R, Modular No.6 and Modular No.6R","Domestic","住用","95.1","30","25/3/2024","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC032024_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC032024_IPA.pdf"
"MiC 4/2024","Novadeko Hi-Tech Housing Co. Ltd.","Novadeko Hi-Tech Housing Co. Ltd.","Foshan, Guangdong, China","佛山, 廣東, 中國","Steel","鋼材","Type T1 to T5","Module Type 1, Module Type 1R, Module Type 2, Module Type 2R, Module Type 3, Module Type 3R, Module Type 4, Module Type 4R, Module Type 5 and Module Type 5R","Domestic","住用","60.32","20","26/3/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC042024_IPA.pdf"
